cluster,sigma_km_s,r_c_kpc,v_merger_km_s,dx_obs_kpc,dx_max_kpc,Q,status
Bullet Cluster (1E 0657-56),1100,150,4500,150,613.6363636363636,0.244,PASS
MACS J0025.4-1222,950,120,2000,100,252.6315789473684,0.396,PASS
Abell 520,1000,200,2300,150,460.0,0.326,PASS
Abell 2146,900,100,2200,90,244.44444444444446,0.368,PASS
Abell 754,850,180,2000,200,423.52941176470586,0.472,PASS
Abell 2744 (Pandora),1500,250,3000,200,500.0,0.400,PASS
MACS J0717.5+3745,1600,300,3500,250,656.25,0.381,PASS
CIZA J2242.8+5301 (Sausage),1000,200,2500,180,500.0,0.360,PASS
ZwCl 0008.8+5215,800,120,2000,100,300.0,0.333,PASS
Abell 1758,1100,180,2200,120,360.0,0.333,PASS
Abell 3667,950,250,1500,150,394.7368421052632,0.380,PASS
Abell 2163,1300,220,2500,180,423.0769230769231,0.425,PASS
